country,region,sub_region,county,measure,year,value
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2000,19098
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2001,16264
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2002,18032
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2003,19577
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2004,21751
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2005,20789
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2006,19061
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2007,16717
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2008,16215
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2009,16335
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2010,16773
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2011,14215
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2012,11718
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2013,12911
Magyarország,Dunántúl,Közép-Magyarország,Budapest,Bünelkövetö összesen,2014,14324
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2000,11262
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2001,11587
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2002,11660
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2003,11992
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2004,13491
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2005,13396
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2006,12591
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2007,11559
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2008,11387
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2009,11342
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2010,12514
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2011,11088
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2012,9659
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2013,11151
Magyarország,Dunántúl,Közép-Magyarország,Pest ,Bünelkövetö összesen,2014,11485
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2000,3721
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2001,3814
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2002,4026
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2003,3960
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2004,4585
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2005,4737
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2006,4322
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2007,3748
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2008,4087
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2009,3749
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2010,4135
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2011,3894
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2012,3141
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2013,3176
Magyarország,Dunántúl,Közép-Dunántúl,Fejér,Bünelkövetö összesen,2014,3314
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2000,4164
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2001,4025
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2002,4575
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2003,4299
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2004,4323
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2005,4483
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2006,4153
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2007,3454
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2008,3759
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2009,3416
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2010,3651
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2011,3350
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2012,3057
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2013,2817
Magyarország,Dunántúl,Közép-Dunántúl,Komárom- Esztergom ,Bünelkövetö összesen,2014,2495
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2000,3737
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2001,4181
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2002,3767
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2003,3682
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2004,3779
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2005,4176
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2006,3986
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2007,3503
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2008,3602
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2009,3349
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2010,3408
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2011,3436
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2012,3283
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2013,3197
Magyarország,Dunántúl,Közép-Dunántúl,Veszprém,Bünelkövetö összesen,2014,2874
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2000,4513
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2001,4719
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2002,4604
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2003,3968
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2004,4228
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2005,4783
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2006,4447
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2007,4055
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2008,4394
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2009,4381
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2010,4689
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2011,4453
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2012,3925
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2013,3766
Magyarország,Dunántúl,Nyugat-Dunántúl,Gyõr-Moson-Sopron,Bünelkövetö összesen,2014,3438
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2000,2493
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2001,2586
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2002,2524
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2003,2527
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2004,2679
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2005,2793
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2006,2535
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2007,2600
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2008,2460
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2009,2307
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2010,2781
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2011,2633
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2012,2220
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2013,2371
Magyarország,Dunántúl,Nyugat-Dunántúl,Vas,Bünelkövetö összesen,2014,2434
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2000,3332
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2001,3192
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2002,3461
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2003,3118
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2004,3236
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2005,3354
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2006,3020
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2007,2885
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2008,2626
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2009,2601
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2010,3004
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2011,2935
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2012,2676
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2013,2790
Magyarország,Dunántúl,Nyugat-Dunántúl,Zala,Bünelkövetö összesen,2014,2468
Magyarország,Dunántúl,Dél-Dunántúl,Baranya,Bünelkövetö összesen,2000,4591
Magyarország,Dunántúl,Dél-Dunántúl,Baranya,Bünelkövetö összesen,2001,5222
Magyarország,Dunántúl,Dél-Dunántúl,Baranya,Bünelkövetö összesen,2002,5607
