year,source,measure,value
1900,Population_and_vital_statistics,population_0101_000,6854
1900,Population_and_vital_statistics,live_birth_total,268019
1900,Population_and_vital_statistics,live_birth_000_inhabitant,39.7
1900,Population_and_vital_statistics,deaths_total,177363
1900,Population_and_vital_statistics,deaths_000_inhabitant,26.3
1900,Population_and_vital_statistics,natural_incr_decr_toal,90656
1900,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,13.4
1900,Population_and_vital_statistics,infant_mortality_000_live_born,225.7
1900,Population_and_vital_statistics,marriages_total,61466
1900,Population_and_vital_statistics,marriages_000_inhabitant,9.1
1900,Population_and_vital_statistics,divorces_total,1075
1900,Population_and_vital_statistics,divorces_000_inhabitant,0.2
1900,Population_and_vital_statistics,abortion_total,0
1900,Population_and_vital_statistics,abortion_000_live_birth,0
1900,Population_and_vital_statistics,fertitlity_rate_total,5.32
1900,Population_and_vital_statistics,avg_life_expect_at_birth_M,36.56
1900,Population_and_vital_statistics,avg_life_expect_at_birth_F,38.15
1900,Population_and_vital_statistics,death_by_infectious_and_parasitic,0
1900,Population_and_vital_statistics,death_by_neoplasm,0
1900,Population_and_vital_statistics,death_by_circulatory_system_disease,0
1900,Population_and_vital_statistics,death_by_respitory_system_disease,0
1900,Population_and_vital_statistics,death_by_digestive_system_disease,0
1900,Population_and_vital_statistics,death_by_accidents,0
1900,Population_and_vital_statistics,death_by_suicides,0
1900,Population_and_vital_statistics,death_by_other,0
1910,Population_and_vital_statistics,population_0101_000,7612
1910,Population_and_vital_statistics,live_birth_total,265457
1910,Population_and_vital_statistics,live_birth_000_inhabitant,35.1
1910,Population_and_vital_statistics,deaths_total,168875
1910,Population_and_vital_statistics,deaths_000_inhabitant,22.3
1910,Population_and_vital_statistics,natural_incr_decr_toal,96582
1910,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,12.8
1910,Population_and_vital_statistics,infant_mortality_000_live_born,196.1
1910,Population_and_vital_statistics,marriages_total,65300
1910,Population_and_vital_statistics,marriages_000_inhabitant,8.6
1910,Population_and_vital_statistics,divorces_total,2890
1910,Population_and_vital_statistics,divorces_000_inhabitant,0.4
1910,Population_and_vital_statistics,abortion_total,0
1910,Population_and_vital_statistics,abortion_000_live_birth,0
1910,Population_and_vital_statistics,fertitlity_rate_total,4.86
1910,Population_and_vital_statistics,avg_life_expect_at_birth_M,39.07
1910,Population_and_vital_statistics,avg_life_expect_at_birth_F,40.48
1910,Population_and_vital_statistics,death_by_infectious_and_parasitic,0
1910,Population_and_vital_statistics,death_by_neoplasm,0
1910,Population_and_vital_statistics,death_by_circulatory_system_disease,0
1910,Population_and_vital_statistics,death_by_respitory_system_disease,0
1910,Population_and_vital_statistics,death_by_digestive_system_disease,0
1910,Population_and_vital_statistics,death_by_accidents,0
1910,Population_and_vital_statistics,death_by_suicides,0
1910,Population_and_vital_statistics,death_by_other,0
1920,Population_and_vital_statistics,population_0101_000,7987
1920,Population_and_vital_statistics,live_birth_total,249458
1920,Population_and_vital_statistics,live_birth_000_inhabitant,31.4
1920,Population_and_vital_statistics,deaths_total,169717
1920,Population_and_vital_statistics,deaths_000_inhabitant,21.3
1920,Population_and_vital_statistics,natural_incr_decr_toal,79741
1920,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,10.1
1920,Population_and_vital_statistics,infant_mortality_000_live_born,192.5
1920,Population_and_vital_statistics,marriages_total,104122
1920,Population_and_vital_statistics,marriages_000_inhabitant,13.1
1920,Population_and_vital_statistics,divorces_total,0
1920,Population_and_vital_statistics,divorces_000_inhabitant,0
1920,Population_and_vital_statistics,abortion_total,0
1920,Population_and_vital_statistics,abortion_000_live_birth,0
1920,Population_and_vital_statistics,fertitlity_rate_total,3.80
1920,Population_and_vital_statistics,avg_life_expect_at_birth_M,41.04
1920,Population_and_vital_statistics,avg_life_expect_at_birth_F,43.12
1920,Population_and_vital_statistics,death_by_infectious_and_parasitic,0
1920,Population_and_vital_statistics,death_by_neoplasm,0
1920,Population_and_vital_statistics,death_by_circulatory_system_disease,0
1920,Population_and_vital_statistics,death_by_respitory_system_disease,0
1920,Population_and_vital_statistics,death_by_digestive_system_disease,0
1920,Population_and_vital_statistics,death_by_accidents,0
1920,Population_and_vital_statistics,death_by_suicides,0
1920,Population_and_vital_statistics,death_by_other,0
1930,Population_and_vital_statistics,population_0101_000,8685
1930,Population_and_vital_statistics,live_birth_total,219784
1930,Population_and_vital_statistics,live_birth_000_inhabitant,25.4
1930,Population_and_vital_statistics,deaths_total,134341
1930,Population_and_vital_statistics,deaths_000_inhabitant,15.5
1930,Population_and_vital_statistics,natural_incr_decr_toal,85443
1930,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,9.9
1930,Population_and_vital_statistics,infant_mortality_000_live_born,152.5
1930,Population_and_vital_statistics,marriages_total,77907
1930,Population_and_vital_statistics,marriages_000_inhabitant,9.0
1930,Population_and_vital_statistics,divorces_total,5495
1930,Population_and_vital_statistics,divorces_000_inhabitant,0.6
