"country";"region";"sub_region";"county";"county_key"
"Magyarország";"Dunántúl";"Közép-Magyarország";"Budapest";"Budapest"
"Magyarország";"Dunántúl";"Közép-Magyarország";"Pest ";"Pest "
"Magyarország";"Dunántúl";"Közép-Dunántúl";"Fejér";"Fejér"
"Magyarország";"Dunántúl";"Közép-Dunántúl";"Komárom- Esztergom ";"Komárom- Esztergom "
"Magyarország";"Dunántúl";"Közép-Dunántúl";"Veszprém";"Veszprém"
"Magyarország";"Dunántúl";"Nyugat-Dunántúl";"Győr-Moson-Sopron";"Győr-Moson-Sopron"
"Magyarország";"Dunántúl";"Nyugat-Dunántúl";"Vas";"Vas"
"Magyarország";"Dunántúl";"Nyugat-Dunántúl";"Zala";"Zala"
"Magyarország";"Dunántúl";"Dél-Dunántúl";"Baranya";"Baranya"
"Magyarország";"Dunántúl";"Dél-Dunántúl";"Somogy";"Somogy"
"Magyarország";"Dunántúl";"Dél-Dunántúl";"Tolna";"Tolna"
"Magyarország";"Alföld és Észak";"Észak-Magyarország";"Borsod-Abaúj-Zemplén";"Borsod-Abaúj-Zemplén"
"Magyarország";"Alföld és Észak";"Észak-Magyarország";"Heves";"Heves"
"Magyarország";"Alföld és Észak";"Észak-Magyarország";"Nógrád";"Nógrád"
"Magyarország";"Alföld és Észak";"Észak-Alföld";"Hajdú-Bihar";"Hajdú-Bihar"
"Magyarország";"Alföld és Észak";"Észak-Alföld";"Jász-Nagykun-Szolnok";"Jász-Nagykun-Szolnok"
"Magyarország";"Alföld és Észak";"Észak-Alföld";"Szabolcs-Szatmár-Bereg";"Szabolcs-Szatmár-Bereg"
"Magyarország";"Alföld és Észak";"Dél-Alföld";"Bács-Kiskun";"Bács-Kiskun"
"Magyarország";"Alföld és Észak";"Dél-Alföld";"Békés";"Békés"
"Magyarország";"Alföld és Észak";"Dél-Alföld";"Csongrád";"Csongrád"
"Magyarország";"Alföld és Észak";"Észak-Alföld";"Hajdú-Bihar";"Hajdú-Bihar megye"
"Magyarország";"Alföld és Észak";"Észak-Alföld";"Jász-Nagykun-Szolnok";"Jász-Nagykun-Szolnok megye"
"Magyarország";"Alföld és Észak";"Észak-Alföld";"Szabolcs-Szatmár-Bereg";"Szabolcs-Szatmár-Bereg megye"
"Magyarország";"Alföld és Észak";"Dél-Alföld";"Bács-Kiskun";"Bács-Kiskun megye"
"Magyarország";"Alföld és Észak";"Dél-Alföld";"Békés";"Békés megye"
"Magyarország";"Alföld és Észak";"Dél-Alföld";"Csongrád";"Csongrád megye"
